,SalePrice
1322,184000
2475,184000
2090,179900
2733,128000
2881,115000
1556,80900
2528,165150
672,153000
1911,175000
2384,415000
591,213250
2292,153500
888,159500
2842,118500
1352,184000
1748,215000
213,93369
2271,270000
1572,287000
800,156500
2420,234000
1949,64500
2226,170000
2599,86900
2648,105000
273,84900
71,271500
2431,183200
1087,190000
394,156000
583,206000
1858,187000
1868,188500
500,315000
1963,152000
2167,140000
2910,151400
2677,75000
2371,108000
1642,455000
205,110000
733,128000
1431,155000
526,241000
1293,119164
898,82000
377,187500
1628,163900
2619,147500
1359,93850
386,235000
198,123900
1050,394617
590,167900
519,229800
1921,139400
429,404000
1083,159895
207,140000
491,181000
2845,160000
792,113000
1904,112000
1186,183000
1185,174000
2024,90000
1260,171000
83,112000
2312,170000
2170,94750
20,190000
1518,136500
1472,214000
1859,181500
2630,155000
2057,119900
973,91000
2725,278000
883,170000
1098,284500
1987,110500
2219,259500
886,100000
1503,82500
2418,185101
1411,99600
2474,158000
1730,168165
2586,127000
458,320000
1784,311872
78,125000
2847,137000
1056,417500
906,159434
1477,179900
2208,119750
2633,105000
380,157000
1961,129000
1614,268000
2241,68104
715,106000
1805,340000
686,135000
2503,262000
305,102776
209,173000
2760,209700
2249,134000
2906,153500
1451,127000
885,167000
2915,140000
917,137000
2054,129000
1565,213000
191,128500
1726,200000
1265,242000
483,236000
915,177000
2580,134450
277,64000
988,173000
1370,135000
1786,227000
1537,381000
571,180000
993,165000
2584,139500
1317,128000
585,256900
1897,150750
2923,160000
1912,158500
674,113500
2540,190000
855,150500
447,386250
1336,120000
2138,130000
2828,134000
2202,141500
2878,108000
2328,275000
1618,169000
2608,165000
1247,130000
294,215000
588,113000
1281,167900
2665,125000
1720,209500
1437,193000
2196,165000
425,256300
534,152000
1054,317500
1815,128000
2570,235000
1561,250000
132,153000
2762,181000
1721,202500
2023,165000
2595,99800
1913,114500
1487,123000
556,141000
1928,130000
1655,152000
2616,157500
570,172500
352,239500
91,362500
2480,172000
2473,142500
1170,305000
1725,221370
1285,157500
2882,78000
2411,170440
2769,145000
1392,235000
697,129000
2446,405000
348,168500
1474,186500
2289,84500
2373,146300
2115,277000
1137,173000
1694,280000
1368,85000
2772,156000
2756,239799
1339,113000
2430,192140
453,184500
913,137450
1199,299800
1274,112500
2221,219500
37,306000
974,130000
2707,154500
983,112000
1702,260116
1850,204000
1956,122900
39,290941
1940,153000
169,80400
1355,130000
737,93000
2012,113000
2636,107000
1789,249000
634,139000
2585,155000
2092,301000
1290,139500
1380,145000
579,154000
328,85000
1550,126000
892,145500
1745,259000
780,63900
159,162000
2106,194000
1560,294464
2810,212900
61,260400
849,187100
2077,255000
2825,145000
1043,85400
2436,172400
1937,115000
1596,105000
1070,367294
53,192000
258,200500
505,248000
752,104000
1866,164000
1926,135000
1882,126500
1432,144000
2927,132000
2387,309000
1389,144900
1266,116000
2406,202665
1613,244000
771,113500
2738,182000
1657,175000
2622,109900
1085,179000
1621,160000
1446,158000
1325,97000
2067,165250
1616,168000
1553,13100
2492,133500
1583,232500
1584,195000
2302,139000
1163,146000
963,204000
2835,107000
1567,171500
398,120500
584,162000
948,240000
704,93000
431,451950
292,169000
145,167500
1953,120000
2670,100000
1165,179400
1452,124900
2,172000
576,241600
2243,140000
339,285000
2498,260000
1637,591587
925,205000
265,237000
376,249000
2587,133500
1463,224900
271,213000
696,130000
2904,215000
244,178000
2749,224500
476,170000
2774,217000
1624,176000
1744,185485
1580,184000
2720,155000
2886,145000
1814,179200
1763,466500
250,206000
413,137900
545,189000
1193,147000
738,119000
310,190000
1591,160500
893,118000
1131,141000
1449,163000
2840,116000
15,538000
1840,199900
721,143000
1420,226500
2571,135000
981,131250
1767,755000
2470,139500
2364,105500
363,225000
1883,145000
182,105900
985,143000
1877,144000
1194,135000
2095,220000
2860,194000
1121,250580
187,149700
619,128900
2333,361919
1175,170000
1966,156500
2144,305900
614,82500
1513,98000
1466,207000
2032,202500
994,195500
934,121000
371,181000
1813,215000
2112,176432
593,130000
2286,106500
726,34900
826,220000
1578,218689
687,144750
2159,185000
136,180000
628,110000
334,157900
2001,159500
2252,210000
1109,301500
2925,142500
2635,169000
710,91300
1039,103400
1776,260261
1746,188500
1954,128500
2694,125500
2460,198600
1112,232000
465,167800
1223,141500
1842,176500
2898,202000
2291,146800
1508,130500
1104,290000
1876,156000
338,161000
1962,135000
1808,149000
2814,163990
2740,137000
1732,198444
1586,298751
2462,232600
816,269500
1067,421250
274,155891
2188,108500
865,261500
101,177000
1501,82000
2096,383970
171,109500
107,206000
2482,150000
1521,189000
2918,79500
2592,180000
1844,168500
2692,72000
2086,136500
2194,200000
2283,129900
1972,130000
2031,139400
712,113000
72,233000
2781,132500
2213,239000
2499,260000
2818,102000
481,178000
2162,179600
1530,138000
2788,137000
1514,67000
2892,230000
1490,135000
1171,328900
2679,80500
1723,277500
1992,114000
2895,176000
1941,112500
405,97000
757,97500
1845,177000
2131,217500
1771,290000
97,149500
1333,106900
2332,556581
743,105000
806,131000
2706,90000
1788,225000
2439,173000
1535,104000
1939,132000
1896,181900
148,108000
1957,119200
2298,80000
2704,157000
1945,301600
692,110000
818,323262
1386,95541
2287,93900
1950,148000
1599,98000
2304,124500
2398,378000
701,124500
1770,290000
2593,127000
921,160000
1424,248500
905,160000
454,212500
2010,128000
2247,183500
2003,104500
167,192000
730,205000
2342,202500
1310,98000
26,126000
2257,170000
1652,151500
1622,180000
587,163000
2266,204000
997,177900
1176,200000
1040,100000
33,149900
2575,145250
2541,136500
1379,109900
41,275000
1867,185000
2919,90500
2602,80000
1860,373000
1706,372000
609,177500
1132,188000
28,184000
441,324000
2064,187000
2107,195400
493,168000
1258,139000
1301,140000
2308,252000
1382,153000
1304,107900
236,144500
551,160000
520,250000
2161,213500
1232,165000
1138,170000
720,58500
735,117000
2590,167000
58,222500
631,156500
1181,162500
2147,192000
592,227000
1303,112500
1387,80000
2553,137000
2836,81000
1741,172500
939,147000
2724,168000
1249,139000
904,117000
1279,109500
2345,190000
2812,198000
2623,133700
2330,545224
1927,163500
1142,189000
2909,127000
706,93000
2579,153000
1022,272000
745,150000
1546,55000
2594,112000
2465,200825
513,468000
81,171000
2691,116500
1308,153900
2885,242500
914,155000
1404,125600
1647,213000
2697,90000
1108,271000
150,122500
2663,114504
774,134900
329,76000
6,213500
943,75000
822,239900
734,134900
909,197000
468,174000
181,12789
164,134800
2547,157500
451,213000
490,245000
2211,238000
1143,190500
1311,114000
2186,98500
1111,214000
2789,255000
1441,231500
2478,175900
2014,132000
1627,160000
1632,207500
1074,370967
2002,87000
2757,233555
2288,75000
2468,176000
2245,375000
327,119500
442,350000
2117,187500
1869,255000
832,275000
2855,131000
2051,118500
1414,107500
1201,173000
1499,148000
1779,215000
86,122000
1403,177000
2859,230000
1481,149300
777,165000
2079,154000
1666,133000
54,184500
2471,186800
1287,111000
1667,119500
2609,159000
2664,157000
1701,500067
1245,116000
113,212500
2742,149900
987,196000
501,260000
2099,360000
1009,188500
1198,170000
1394,108000
589,230000
768,175000
17,394432
1042,106000
1447,147000
2403,185850
285,104000
2576,162000
428,335000
1328,108000
2299,129500
669,200000
31,88000
1341,79000
722,85000
951,173000
2236,150909
214,114900
989,176500
1164,146000
2728,130000
1891,161000
326,83500
560,131400
1383,120000
1724,318061
1086,193000
2274,283463
341,124500
1653,197000
147,159500
2282,168000
2354,184500
1107,287500
848,230000
966,170000
1072,274000
2404,282500
155,144900
665,78500
661,156500
1002,180000
2284,134000
2456,423000
176,119000
2591,159000
1524,191000
2753,193879
1203,176000
24,149900
2746,180000
2651,135500
2273,186700
2242,119600
875,178000
2632,120000
938,222000
2634,124000
1552,165500
346,189000
2447,280000
2903,81500
1922,150000
385,220000
1829,129000
2108,217000
2448,258000
2140,112500
243,84900
2020,102000
1826,125500
936,208000
1689,345474
2563,137000
312,169900
1459,287000
2858,195000
2175,148000
1332,124000
968,425000
1454,237000
660,142900
935,124000
370,260000
566,164500
1854,255000
1024,175000
824,272500
982,165500
2369,118000
1988,100000
1645,178000
2687,129000
2189,110000
2066,112000
813,148325
1792,221300
1430,200000
778,148000
1749,206580
1320,325000
2053,123000
2804,233230
1052,385000
2464,186500
1013,115000
1401,241500
1822,129000
2758,260000
2912,146500
2529,164500
126,142125
2030,169500
2451,321000
887,198500
2397,372397
1347,129900
1007,185000
355,191000
1003,181000
1483,149000
682,118900
827,200000
1924,174850
2589,142000
2018,132000
984,149000
1233,227000
2542,129900
2009,135000
140,136000
217,136500
2405,202500
362,173000
2601,155500
345,270000
1965,152000
22,216000
711,99500
1157,290000
2699,150000
871,279500
1971,125500
1978,99900
10,175900
2358,155000
2215,188000
2759,294900
1834,214000
793,125000
1315,161000
754,149000
626,205000
94,190000
2768,148000
129,116500
1708,354000
843,204000
323,173500
2533,155000
2353,294323
1284,73000
1671,120500
2839,125000
14,212000
2870,157000
947,239686
215,94000
1900,138500
227,158900
2338,145000
1182,150000
1932,125000
805,239500
2093,238000
864,236500
1865,162500
